age,area,district,floor,location,mode,price
2018,39,房山,共5层,长阳半岛中央城,2室1厅1卫,26923
2007,302,东城,中层(共11层),NAGA上院,3室2厅3卫,89246
2018,48,顺义,低层(共13层),金地未未来,2室1厅1卫,28750
2009,686,海淀,共3层,香山清琴,6室5厅5卫,120938
2005,111,朝阳,中层(共6层),卡布其诺,3室2厅2卫,68100
2005,143,海淀,高层(共21层),远中悦莱国际酒店公寓,3室2厅2卫,83846
2006,416,昌平,共3层,保利垄上,4室3厅2卫,39663
2010,69,朝阳,中层(共28层),首城国际中心,2室1厅1卫,85507
2003,74,东城,高层(共15层),朝阳门小街小区,2室1厅1卫,89405
2010,72,密云,低层(共6层),亚澜湾,1室1厅1卫,23611
2015,371,朝阳,高层(共10层),泛海世家,4室2厅5卫,161698
2005,133,朝阳,高层(共36层),新城国际,2室2厅2卫,110994
2000,83,海淀,中层(共6层),永泰东里,3室1厅1卫,68788
1950,66,西城,共4层,儒福里小区,2室1厅1卫,85418
2004,153,海淀,高层(共11层),玫瑰御园,3室2厅2卫,112418
2003,71,东城,低层(共6层),仓南胡同小区,2室1厅1卫,131390
2001,82,海淀,高层(共6层),玉海园二里,2室1厅1卫,71254
1998,99,海淀,中层(共20层),阳光北里,3室1厅1卫,63755
2012,130,朝阳,中层(共31层),东湖湾(东区),2室2厅2卫,113540
2010,406,顺义,共3层,纳帕尔湾,5室3厅6卫,30418
2010,37,朝阳,低层(共13层),卡夫卡公社,1室1厅1卫,50000
2012,246,北京周边,共3层,潮白河孔雀城伯顿庄园(别墅),5室2厅3卫,21544
1984,63,西城,中层(共6层),黄寺大街24号院,2室1厅1卫,125000
1986,53,西城,低层(共6层),广外南街50号院,2室1厅1卫,95864
2016,42,房山,共5层,长阳半岛中央城,2室2厅2卫,26666
2004,89,朝阳,中层(共22层),富力又一城B区,3室2厅2卫,66292
1988,56,朝阳,高层(共6层),惠新里,2室1厅1卫,75341
2016,43,门头沟,中层(共19层),远洋新天地,2室1厅1卫,44186
2000,168,海淀,共4层,玲珑花园,4室2厅2卫,100000
2000,58,密云,低层(共6层),宾阳里小区,2室1厅1卫,27241
2000,108,朝阳,中层(共32层),天居园,2室1厅2卫,65277
2000,158,朝阳,高层(共12层),华辉苑,3室2厅2卫,48010
2003,95,顺义,高层(共6层),仓上小区(五里仓社区),2室1厅1卫,36862
2002,153,朝阳,中层(共25层),欧陆经典万兴苑,3室2厅2卫,88235
2013,156,朝阳,中层(共18层),上林世家,3室2厅2卫,112179
2002,153,朝阳,中层(共25层),欧陆经典万兴苑,3室2厅2卫,88235
2012,159,朝阳,低层(共25层),太阳公元,3室2厅2卫,147735
2005,111,朝阳,中层(共28层),百环家园,2室1厅1卫,55480
2016,65,北京周边,中层(共18层),燕达首尔国际村,2室2厅1卫,15384
2012,56,大兴,中层(共12层),蓝桥驿苑,1室1厅1卫,36250
1998,58,海淀,低层(共6层),科源社区,2室1厅1卫,130360
2006,272,朝阳,高层(共15层),朗园(星河湾),3室3厅1卫,86213
2008,86,北京周边,高层(共18层),大运河孔雀城,3室2厅2卫,15116
2000,133,朝阳,中层(共25层),阳光广场,2室2厅2卫,45864
2012,407,昌平,地下(共3层),温哥华森林,5室3厅4卫,49140
2016,86,北京周边,中层(共28层),巨富九璟湾,2室2厅1卫,14418
2017,480,顺义,共3层,优山美地D区,4室2厅4卫,62500
2012,298,昌平,共3层,中海尚湖世家,4室2厅4卫,48657
2013,82,昌平,低层(共20层),珠江摩尔公元,2室1厅2卫,36951
2017,71,北京周边,高层(共25层),白鹭岛,2室1厅1卫,11690
2005,64,朝阳,中层(共15层),茉藜园,1室1厅1卫,57116
2000,53,密云,共5层,檀城家园,1室2厅1卫,29433
2002,139,朝阳,低层(共31层),天创世缘,3室2厅2卫,64748
2000,164,昌平,共2层,王府花园,4室2厅4卫,38414
2018,78,北京周边,高层(共21层),花语城,2室2厅1卫,10256
1999,64,顺义,中层(共6层),裕祥花园,1室1厅1卫,46875
2014,93,北京周边,高层(共27层),白鹭岛,3室2厅1卫,11827
2000,1054,顺义,共3层,丽宫别墅,5室3厅6卫,84285
2000,367,朝阳,高层(共10层),泛海世家,4室2厅5卫,163460
1992,54,石景山,低层(共18层),永乐小区,2室1厅1卫,54920
2002,87,房山,高层(共6层),营房小区,2室1厅1卫,24712
2005,131,房山,高层(共11层),北潞华家园,3室2厅2卫,30534
2012,92,大兴,高层(共20层),新里西斯莱公馆,3室1厅1卫,59440
1988,53,丰台,高层(共6层),蒲安里小区,2室1厅1卫,64192
1985,42,朝阳,高层(共16层),新源里小区,1室1厅1卫,77756
2000,202,朝阳,高层(共27层),万豪国际公寓,3室2厅2卫,81683
2013,166,北京周边,共3层,八达岭孔雀城(别墅),3室2厅3卫,15814
2005,134,朝阳,高层(共13层),远洋天地,3室2厅2卫,74255
2015,93,昌平,低层(共10层),紫金新干线二区,2室1厅1卫,49732
2004,247,海淀,高层(共17层),康桥水郡,5室2厅3卫,128313
2006,94,通州,高层(共10层),新城阳光,2室1厅1卫,45934
